ID,cityID,pet,rent,space,lat,lng,label,floor,unit,transport,twd97,food:avgcost,tag:pet,tag:transport,tag:capital,tag:home,tag:sport,tag:culture,tag:safe,tag:food
49,108,N,22000,20.15,25.023959899999998,121.49612520000001,住,1,1091.8114143920595,2,"(300069.5639724996, 2768523.107215855)",100.4,False,False,False,True,False,False,False,False
50,111,Y,23000,10.55,25.0920324,121.5234217,住,3,2180.0947867298582,3,"(302795.2337137454, 2776073.5705959094)",121.47169811320755,True,True,False,True,False,False,False,False
52,104,N,8000,4.0,25.0601242,121.52306920000001,住,2,2000.0,3,"(302773.3533578012, 2772539.0917245992)",209.3360655737705,False,True,True,True,False,True,True,True
53,235,N,25000,27.22,24.983972100000003,121.50810249999999,住,13,918.4423218221897,3,"(301294.9508527361, 2764098.3520968053)",113.27083333333333,False,False,False,True,False,False,False,False
54,103,Y,28000,24.0,25.055316100000002,121.5196351,住,2,1166.6666666666667,3,"(302428.92067985213, 2772005.1841622423)",247.07978723404256,True,True,False,True,True,True,True,True
55,116,N,50000,71.68,24.9886613,121.56723290000001,住,8,697.5446428571428,2,"(307262.34552778467, 2764641.4129913715)",155.10714285714286,False,False,False,True,False,False,False,False
57,103,Y,32000,15.43,25.0487056,121.51741940000001,住,14,2073.8820479585224,3,"(302208.162292672, 2771272.1119798576)",229.85202863961814,True,True,False,True,True,True,True,True
58,104,Y,40000,38.16,25.0580558,121.5252581,住,3,1048.2180293501046,3,"(302995.0888696303, 2772310.8397570155)",330.83505154639175,True,True,False,True,True,True,True,True
59,116,N,35000,33.9,25.0060183,121.540672,住,5,1032.4483775811211,3,"(304573.2945704418, 2766553.0086092185)",296.0,False,False,False,True,False,False,False,False
60,116,N,53000,45.79,24.9952766,121.55968519999999,住,3,1157.4579602533306,3,"(306497.3627950706, 2765370.991881714)",158.8,False,False,False,True,False,False,False,False
61,111,N,32000,39.9,25.1181401,121.534585,住,4,802.0050125313285,2,"(303909.79912567843, 2778969.837634607)",333.7181818181818,False,False,False,True,False,False,False,False
62,231,N,14000,23.2,24.941372,121.503092,住,17,603.4482758620691,0,"(300806.59849407076, 2759377.908343835)",0.0,False,False,False,True,False,False,False,False
63,231,N,22000,21.3,24.983800199999997,121.52598710000001,住,7,1032.8638497652582,2,"(303100.57786825753, 2764086.1936752023)",0.0,False,False,False,True,False,False,False,False
64,231,N,48000,65.69,24.983800199999997,121.52598710000001,住,7,730.7048256964531,2,"(303100.57786825753, 2764086.1936752023)",0.0,False,False,False,True,False,False,False,False
65,106,N,38000,41.95,25.038728699999997,121.555181,住,3,905.8402860548273,3,"(306022.95490669686, 2770182.1129892)",359.2463768115942,False,True,False,True,True,True,True,True
66,116,N,22000,30.0,24.9952766,121.55968519999999,住,4,733.3333333333335,3,"(306497.3627950706, 2765370.991881714)",158.8,False,False,False,True,False,False,False,False
67,111,N,36000,36.74,25.0910494,121.5217598,住,7,979.8584648884047,3,"(302628.0227006611, 2775964.0390774957)",110.41935483870968,False,True,False,True,False,False,False,False
68,104,Y,45000,43.85,25.0580558,121.5252581,住,3,1026.2257696693273,3,"(302995.0888696303, 2772310.8397570155)",330.83505154639175,True,True,False,True,True,True,True,True
69,231,N,32000,49.13,24.976242199999998,121.52805049999999,住,3,651.3331976389171,3,"(303312.14880327845, 2763249.8444506275)",277.0,False,False,False,True,False,False,False,False
70,114,N,38000,47.68,25.0904738,121.5818993,住,3,796.9798657718121,2,"(308694.4785531052, 2775925.0579891345)",609.0,False,False,False,True,False,False,False,False
71,112,N,16000,13.77,25.1361618,121.5086192,住,9,1161.9462599854758,3,"(301283.7284392452, 2780955.91920017)",357.5,False,False,False,True,False,False,False,False
73,116,Y,28000,41.0,24.9931543,121.5443835,住,3,682.9268292682926,3,"(304953.64755885967, 2765129.626703058)",209.01960784313727,True,False,False,True,False,False,False,False
74,111,N,60000,70.66,25.1230493,121.5320811,住,5,849.1367110104727,2,"(303655.14680234384, 2779512.615673692)",238.9,False,False,False,True,False,False,False,False
75,234,N,19000,17.03,25.0089307,121.50930079999999,住,6,1115.678214914856,3,"(301405.54177617864, 2766863.334834864)",152.88111888111888,False,False,False,True,True,False,False,True
77,104,N,28000,11.69,25.0595514,121.53300449999999,住,8,2395.2095808383233,3,"(303776.0114056122, 2772479.5581942624)",251.36046511627907,False,True,False,True,False,True,True,True
78,112,N,13500,8.0,25.1266638,121.49827450000001,住,3,1687.5,3,"(300244.5480210496, 2779899.9660897166)",164.14285714285714,False,False,False,True,False,False,False,False
79,106,N,35000,31.87,25.0371693,121.5515915,住,3,1098.2114841543769,3,"(305661.4373108225, 2770007.9042573837)",389.41279069767444,False,True,False,True,True,True,True,True
80,106,N,45000,38.51,25.0391667,121.54606979999998,住,6,1168.5276551545053,3,"(305103.3357745471, 2770226.888611981)",415.50205761316874,False,True,False,True,True,True,True,True
82,111,N,60000,59.05,25.118435,121.52703629999999,住,3,1016.0880609652837,2,"(303148.4149994403, 2778999.508893146)",289.6623376623377,False,False,False,True,False,False,False,False
84,106,N,23000,20.18,25.0389439,121.5575437,住,8,1139.7423191278494,3,"(306261.28011162643, 2770206.9296691166)",367.8095238095238,False,True,False,True,True,True,True,True
85,105,N,44000,31.48,25.0619796,121.5474862,住,1,1397.712833545108,3,"(305236.042062326, 2772754.3556995047)",240.66666666666666,False,True,False,True,False,True,True,True
86,104,Y,55000,44.26,25.0483936,121.53671580000001,住,5,1242.6570266606418,3,"(304155.3625672279, 2771245.136687509)",346.76363636363635,True,True,False,True,True,True,True,True
89,110,N,30000,15.27,25.032797600000002,121.56713740000001,住,14,1964.6365422396855,3,"(307232.24469158775, 2769530.1511102337)",324.17857142857144,False,True,False,True,False,True,True,True
90,220,N,70000,67.5,25.011760100000004,121.4653737,住,8,1037.037037037037,3,"(296970.6810006277, 2767160.7878499916)",284.28837209302327,False,False,False,True,True,False,False,False
91,111,Y,60000,46.3,25.121232,121.52917649999999,住,5,1295.8963282937366,2,"(303363.03039823286, 2779310.167666549)",297.38461538461536,True,False,False,True,False,False,False,False
93,103,Y,7900,7.59,25.0513046,121.51192520000001,住,1,1040.8432147562582,3,"(301652.6930501795, 2771557.882813204)",207.32432432432432,True,True,True,True,True,True,True,True
94,111,Y,45000,36.51,25.1208986,121.5266215,住,7,1232.5390304026296,2,"(303105.51940626313, 2779272.2302298606)",329.54237288135596,True,False,False,True,False,False,False,False
95,242,N,15500,22.9,25.0305909,121.41360630000001,住,18,676.8558951965067,2,"(291739.30938322394, 2769229.616649006)",65.5,False,False,False,True,False,False,False,False
96,242,N,19000,25.11,25.023076100000004,121.4208659,住,13,756.6706491437675,3,"(292474.5109957415, 2768399.5035783034)",108.48,False,False,False,True,False,False,False,False
97,239,N,18000,33.42,24.9569959,121.34799509999999,住,5,538.5996409335727,2,"(285138.9803759117, 2761059.3913264945)",211.6,False,False,False,True,False,False,False,False
99,251,N,11000,14.89,25.165969399999998,121.45898159999999,套,8,738.7508394895902,1,"(296267.489122594, 2784239.64622994)",0.0,False,True,False,False,True,True,True,False
100,251,N,45000,78.96,25.165969399999998,121.45898159999999,住,6,569.9088145896658,1,"(296267.489122594, 2784239.64622994)",0.0,False,False,False,True,False,False,False,False
101,237,N,11000,18.93,24.9388705,121.36549540000001,住,2,581.0882197569995,2,"(286911.49904787226, 2759056.4193114964)",165.0,False,False,False,True,False,False,False,False
102,238,N,12000,16.5,24.9475296,121.38194240000001,套,3,727.2727272727273,2,"(288569.80621902476, 2760020.0916777356)",271.275,False,True,False,False,True,False,True,True
103,238,N,9500,10.27,24.9475296,121.38194240000001,套,3,925.0243427458619,2,"(288569.80621902476, 2760020.0916777356)",271.275,False,True,False,False,True,False,True,True
104,251,N,16000,22.82,25.181836800000003,121.44048659999999,住,10,701.1393514460999,2,"(294397.3348892754, 2785990.99944911)",124.5,False,False,False,True,True,False,False,False
105,251,Y,23000,50.4,25.1788798,121.4367281,住,15,456.3492063492064,2,"(294019.56729509385, 2785662.2287553097)",130.875,True,False,False,True,True,False,False,False
107,244,N,27000,56.73,25.073670800000002,121.36144340000001,住,5,475.9386567953464,1,"(286462.46645241533, 2773986.254657116)",411.8,False,False,False,True,False,False,False,False
108,251,N,13800,13.44,25.165969399999998,121.45898159999999,住,7,1026.7857142857142,1,"(296267.489122594, 2784239.64622994)",0.0,False,False,False,True,False,False,False,False
109,251,N,16000,49.67,25.1772684,121.4249142,住,4,322.12603180994563,2,"(292829.3461243362, 2785479.93030985)",185.875,False,False,False,True,True,False,False,False
110,251,N,17500,38.02,25.1891602,121.44240049999999,住,3,460.28406102051554,2,"(294587.5768531863, 2786802.8207072006)",232.5,False,False,False,True,False,False,False,False
111,251,N,20000,39.69,25.186372,121.434547,住,11,503.9052658100277,2,"(293797.0445968726, 2786491.402971991)",0.0,False,False,False,True,False,False,False,False
112,237,N,24000,63.42,24.946540300000002,121.3774603,住,18,378.4295175023652,2,"(288117.48915295757, 2759909.2490678695)",205.22413793103448,False,False,False,True,False,False,False,False
113,237,N,27000,77.32,24.9273289,121.3664986,住,12,349.19813760993276,2,"(287016.2606866473, 2757778.3182152263)",160.0,False,False,False,True,False,False,False,False
114,238,N,6000,7.66,24.9475296,121.38194240000001,套,3,783.289817232376,2,"(288569.80621902476, 2760020.0916777356)",271.275,False,False,True,False,False,False,False,False
115,251,Y,11000,21.3,25.1722033,121.4458659,住,3,516.4319248826291,3,"(294943.0625829145, 2784925.7138215657)",128.96747967479675,True,False,False,True,True,False,False,False
116,251,N,20000,47.41,25.190135199999997,121.43456880000001,住,14,421.8519299725796,2,"(293797.8962292956, 2786908.247179774)",0.0,False,False,False,True,False,False,False,False
117,251,N,20000,35.18,25.1977186,121.42168500000001,住,1,568.5048322910745,1,"(292496.7590458528, 2787744.105060217)",0.0,False,False,False,True,False,False,False,False
118,249,N,26000,45.52,25.125591,121.45293000000001,住,18,571.1775043936731,2,"(295672.4753021525, 2779765.0194309773)",290.0,False,False,False,True,False,False,False,False
119,244,N,38000,37.97,25.079944100000002,121.38481340000001,住,1,1000.7900974453515,1,"(288818.07987490407, 2774687.620608221)",279.6666666666667,False,False,False,True,False,False,False,False
